dates,job-title,summary,pros&cons,overall-ratings,work-balance-stars,culture-values-stars,carrer-opportunities-stars,comp-benefit-stars,senior-mangemnet-stars
" Jul 16, 2013",Current Employee - Specialist,"Great friends, reliable, fun","amazing people seriously, because apple focuses on your relatable qualities when they hire you, it creates an amazing environment of interesting and friendly people. i considerable my apple co workers a family and i've made amazing friends that i'll h. for many employees, it's easy for the job to become your life. you work there 8 hours, slowly you realize all of your friends are your co workers, you end up talking about work when you're not there, etc.",4,5,5,3,5,5
" Dec 20, 2017",Current Employee - Anonymous Employee,"AWS is where history being made, don't come for the perks though...",not mentioned,5,5,5,5,5,5
" Sep 27, 2018",Former Employee - Anonymous Employee,"Great from afar, dysfunctional from within","there are pros to working at google it looks great on the resume because of its history, it is a known quantity in the industry, performers get a lot of stock, it's not yet an antiquated giant (but moving in that direction pretty fast.) , generally people are friendly (lower the level, better the people the opposite is also true. higher the level, worse the ""googleyness"" of the people). free food : i have actually had better ""free"" food at other companies, and this free food comes at a high price you work all the time. through lunch. through breakfast. sometimes through dinner. quality isn't so great either. management really t",1,1,2,3,3,1
" Jun 27, 2012",Former Employee - Senior Software Engineer,Lost their way,"top of market base salary 4 dvd out plan is free do not penny pinch on equipment, get whatever you want.. freedom and responsbility is their mantra when you're hired, but it is not practiced by new managers. people get fired all the time for disagreeing or questioning management on anything. on some teams(mine, not all) there was no collaboration in des",1,3,1,3,3,1
" Aug 4, 2011",Current Employee - Senior Program Manager,Past its prime,not mentioned,2,4,none,2,3,1.5
" Sep 22, 2017",Current Employee - Database Administrator,"Great Place, Great People, Great Culture","fast moving, if you are excited about technology it's the right place flat, less titles, less ranks, approachable vps & directors who talk to engineers feedback style is really awesome, 360 feedback may worry some people, if it works great most of t. frugal, if you like sprawling offsite campuses with lush green gardens, it may not the place you'd like, look for ms or google types, the work places are cool though you get mac & large screen monitors & everything you need to be productive. bar can b",5,4,5,5,4,5
" Jul 9, 2018",Current Employee - Strategic Account Manager,A world leader employer with peculiarities,not mentioned,5,4,5,5,5,5
" Mar 29, 2017",Current Employee - Finance Manager,"Great place to learn, churn n burn culture in finance","super smart people, the best of the best from schools if you get hired here, you will be hirable anywhere, recruiting process is tough the pay is above average, probably 1.5 times elsewhere (but the expected results are 150% of elsewhere too) lots. frugality is taken to the extreme, only 2 weeks vacation, parking takes a year or more to get, zero perks (not even free prime), no fitness allowance, poor 401k your peers will stab you in the back, your manager will blame you for their errors, you ca",4,1,2,4,3,3
" Dec 8, 2017",Former Employee - Account Executive,Account Executive,"the compensation and benefits are very competitive.. frugality is taken to the extreme, only 2 weeks vacation, parking takes a year or more to get, zero perks (not even free prime), no fitness allowance, poor 401k your peers will stab you in the back, your manager will blame you for their errors, you ca",1,2,1,2,4,1
" Aug 5, 2015",Current Employee - Software Development Engineer II,Go somewhere else,"you work on products that are used by millions of people every day they have some good internal talks/conferences (if you have time to see/attend them). frugality: be sure to only receive the cheapest hardware(macs, screens) that amazon can find usually you only get a used laptop when you start. also you are supposed to keep your laptop for 4 years ""the leader in the cloud"" develops its software on",1,1,1,1,2,1
" Dec 5, 2016",Current Employee - Marketing,Horrible - avoid unknown businesses like Amazon Tickets,"first of all, before joining amazon more than 2 years ago, i read reviews on glassdoor which were not great (3.5/5) but i thought that i'd be stronger and that the bad things that i read would not happen to me. big mistake as i have many times regretted my choice and if i had to do it again, i would have tried to join another business at amazon, and certainly not unknown and new businesses like amazon tickets. pros: brand, one of the earth's most customer centric companies (depending on businesses though) shares, on a 4 year period though (very few vest in your first year, second year, then every 6 months) constantly innovating, prime is a really cool business to work for if you have the chance. frugality: from rubbish pens that break all the time (silly right?), to team lunches where your manager asks you to pay and to expense because he can't take that on his company card and make it visible, to no investment in people in spite of the ever gr",1,1,1,1,1,1
" Nov 5, 2017",Former Employee - Anonymous Employee,Great working enviroment,not mentioned,5,2,5,5,4,5
" Jul 28, 2010",Former Employee - Software Development Engineer In Test (SDET),"Good for competitive people, but not for those who prefer team-oriented work environments.",not mentioned,2,3.5,none,3.5,4.5,3
" Feb 26, 2016",Current Employee - Senior Software Engineer,As good as a big company can be,not mentioned,5,4,5,4,5,5
" Sep 18, 2016",Current Employee - California,Long-term Googler,"if you like the internet, you'll identify with the mission of most projects work with world class engineers most of the time fun people, fun occasional offsites, nice lunches most of the projects & teams i've worked on had a ""small team"" vibe. e. google is a large place today and things vary quite drastically from team to team. there's no guarantee of what type of thing/project/team you might be working on, at first. challenging to move up the career ladder as an engineer (probably in other fu",5,5,5,4,5,none
" Nov 20, 2016",Current Employee - Software Engineer,It's a job,"well known perks like free food, busses, new computers, etc. however, there are also better pros: google constantly tries to improve employees' skills, technical and otherwise. of course, this is done entirely for the benefit of the company, but it is also useful for employees to build their resumes. internal tools and processes make it easy to get a lot of work done, and feel productive. in some ways, the organization isn't hierarchal in the sense that you can ping/email almost anyone related to your work and engage in useful conversation, without feeling like a lesser employee. good weather in mountain view, ca.. google systematically undervalues new employees' contributions. promotion process skewed toward people that have been at the company the longest, rather than the highest performers. many coworkers are too egotistical.",4,4,3,4,4,4
" Oct 11, 2018",Current Employee - Anonymous Employee,Software Engineer,google embraces a great working environment where people are always supportive and helpful google infrastructure and technology are great and there are a lot of things to learn from. google technology is more or less isolated from the outside world (converging though).,4,5,5,5,4,5
" Jan 4, 2011",Former Employee - Technical Specialist,Interesting.... :-),"knowledge sharing dynamic teams great career ""starter"". grew too fast windows & , windows & office,windows & office,windows & office,windows & officewindows & office, etc",4,3.5,none,3,4,3.5
" Jan 4, 2011",Former Employee - Technical Specialist,Interesting.... :-),"knowledge sharing dynamic teams great career ""starter"". grew too fast windows & , windows & office,windows & office,windows & office,windows & officewindows & office, etc",4,3.5,none,3,4,3.5
" Nov 19, 2013",Former Employee - Marketing Manager,"Great company to work for, but resistant to creativity and change",not mentioned,3,2,3,4,4,1
" Nov 3, 2011",Current Employee - Technical Project Manager,Best. Job. Ever.,"what i love most about working at facebook: the people. i get to work with some of the most talented and passionate people in the world. the culture. i love the fact that we get to take big risks and 'move fast and break things'. it's very empowering. impact. all my friends and family use facebook ( 800m people around the world), so it's great to know that people i care about love to use the product that i'm a part of. the culinary team. best. food. ever.. growing so fast makes it so you don't know everyone at the company anymore, but that's just a product of rapid growth and hiring enough people to sustain and grow the business.",5,5,none,5,5,5
" Sep 19, 2017",Current Employee - Senior Product Manager,Awesome company!,"customer obsession entrepreneurial still day 1 (feel like you're working in a start up but have the support of a large org) lots of opportunities to move around (for positions, countries, etc.) competitive salary and outstanding stock growth i. growth is crazy so there are always new people onboarding (which is good and bad), wish there was more stability with teammates if you're in a corporate location outside of seattle, the upwards career trajectory is not always easy because of the limit",5,4,5,4,5,5
" Mar 10, 2014",Former Employee - Specialist,one of the greatest retail experiences anyone can ask for.,"great benefits included with a retail job (401k options, stock options, medical, etc.) flexible hours (24 hour store) great team(s) to work with. management was deeply involved whenever needed and necessary. growth is highly dependanton ""hidden"" statistics very hard to fit in with the existing staff at times. management seemed uncaring at times (probably because of such a large staff in store).",4,3,4,4,5,4
" Feb 7, 2018",Current Employee - Principal Solutions Architect,Amazon - a 7 month perspective,amazing culture inspiring people our people raise the bar structured onboarding process great benefits (very comparable to other fortune 500s i have been at) amazing tech growth opportunity is limitless. growth pains too many open reqs growth pains managers sometimes have 15 reports (not sustainable) growth pains your manager might change every 9 months,4,4,4,5,4,4
" Mar 22, 2017",Current Employee - Technical Specialist,Great place,not mentioned,5,3,5,5,4,5
" Feb 11, 2010",Current Employee - Software Engineer,Still as innovative a company as ever,not mentioned,4,4,none,3.5,4,4
" Mar 8, 2017",Current Employee - Ad Solution Consultant,'gTech Ads' - Google's most structured teams,"my review is focused on the gtech org, which is a ~5,000 people org in google that works on ad integration, helps sales & customers with troubleshooting, supports publishers and agencies. the roles in gtech are for example ad solution consultant, support specialist, technical account manager, etc. although your org (gtech) is quite boring, you still have the google brand and all the google perks (insurance, food, gym, travel allowance, etc.) stock price and great stock package smart and interesting people. gtech has small travel budget (e.g. i've never travelled to mountain view in over 2 years to meet my teammates in person) your job performance is measured with hard 'call center like' kpis (# customer contacts, time for resolution, etc.) big org whe",3,4,4,2,4,2
" Oct 13, 2014",Former Employee - Attorney,"Great work, good pay, tough environment",not mentioned,3,2,3,3,3,3
" Oct 13, 2016",Current Employee - Service Technician,Good People,"the people you work with are great. benefits are amazing!!! if you're okay with ambiguity it's an ever changing job which keeps things exciting. you can be yourself :). hard to move up with things changing so much, your job description may get longer but pay stays the same managers are usually hired externally technicians are not paid more than sales even though their jobs are 10x more difficult",5,5,4,2,4,4
" Aug 3, 2017",Current Employee - Digital Content Producer,Been at Apple a long time,good work/life balance great people to work with highly believe in company's values good benefits. hard to move up within the company must be able to deal with ambiguity pay not as competitive,4,4,5,3,4,4
" Mar 31, 2016",Former Employee - Anonymous Employee,"Exciting products but hard, sometimes frustrating, work",not mentioned,3,2,4,2,5,3
" May 10, 2016",Current Employee - Anonymous Employee,Great place to work!,"super smart coworkers, who (in general) are really nice, helpful people. great perks (visiting author talks, food, massage, exercise programs, etc). good pay.. hard to unplug from work, even during vacations or other time away. workday tends to be on the longer side. ~60 hour weeks aren't that uncommon. ""20% time"" doesn't really exist like it used to.",5,3,5,5,5,5
" Jul 30, 2017",Former Employee - Red Zone Specialist,Great Company,"amazing benefits from 401k to shopping discounts great environment with great people to work with never a boring day, always something new or changing. harder than other jobs to get promoted to a higher position the ""numbers"" you need to reach are contradicting apple's focus to present a ""new"" kind of retail environment",4,5,5,5,5,4
" Apr 29, 2016",Former Employee - Creative,Apple Retail Store - Creative,"got to work with a lot of really great and smart people. work schedule could be flexible if planned far enough in the future. decent discounts on apple products exposure to the latest hardware and software. while the pay isn't get rich quick kind . having to work weekends and attend mandatory training on sundays. these were only ever few months, but it got tiring having to work weekends (even though it's expected for retail) it got tiring teaching the same basic tasks to a typically older client",3,5,4,2,2,5
" Nov 25, 2017",Current Employee - Software Development Engineer,It depends on the team,"this is absolutely the best team i have ever been part of in my career. i love working with these people. and the projects are interesting too. :) but it really depends on the team at amazon, i hear horror stories from other people, and it is kind of hard to believe i work at the same company sometimes. :) that being said i do feel very appreciated working here. the regular events are pretty amazing. bring your parent to work day was probably my favorite so far. :) good pay decent benefits nice work environment flexible work hours and wfh arrangement work life balance my colleagues great managers adjustable standing desks nice portable laptops (even if i'm not a mac fan. :d) good tools and build system that are constantly being improved leadership principles customer obession clear career and promotion process mentoring program learning talks. health benefits could be a bit better, but i'm just used to better health care in my home country. ,) sometimes people in seattle are a bit angry at amazon... i've had slightly better 401k matching at other companies before. time off can be a bit",5,5,5,5,4,5
" Jul 27, 2015",Current Employee - Software Engineer II,The fun is gone and the operation burden keeps coming.,not mentioned,2,2,2,2,1,2
" Apr 15, 2011",Current Employee - Product Manager,Great Company but Work Life Balance a Challenge,"amazing benefits amazing people interesting work flexible hours some business groups better than others great diversity in it's employee population. heavily weighted type a culture, highly competitive people are nice but performance evaluation structure can bring out people's worse behaviors lots of politics more in some groups (e.g. windows group) middle managers are a mixed bag many just",4,4,none,3.5,4.5,4
" Jul 16, 2015",Current Employee - Software Engineer,Great company to work for,not mentioned,4,5,3,5,4,4
" Oct 12, 2018",Current Employee - Anonymous Employee,Software Development Engineer,not mentioned,5,3,4,5,4,4
" Nov 9, 2014",Current Employee - Senior Software Eng Lead,Great company for college hires,not mentioned,3,3,1,3,5,3
" Aug 20, 2017",Former Employee - Software Engineer,Disorganized and malfunctioning. Good only if you like corporate games,"it used to be a fun place to work, but now it feels more like a grind house for thousands of engineers. your work affects millions of people. at least they tell you so. good food and cool campus. so it gives 2nd star.. hidden stack ranking. everybody has to go through half year reviews. good luck with your manager and your work! nobody cares what exactly you did or how you did. they look at metrics and your impact, which is a bs term for making people work hard. it's",2,1,1,2,4,2
" Oct 13, 2017",Current Employee - Software Development Engineer,Good and Bad,not mentioned,4,1,4,4,3,3
" Dec 7, 2016",Current Employee - Anonymous Employee,It really depends on your team,not mentioned,5,5,4,5,5,5
" Sep 11, 2016",Former Employee - Principal Manufacturing Engineer,"Fast job with great benefits. Hard to live nearby, very political.",not mentioned,4,4,4,5,5,2
" Jan 7, 2018",Former Employee - Family Room Specialist,"Apple Retail, do not be fooled by slightly higher pay than average Retail jobs","great employee discounts and day to day perks lots of opportunity for promotion and growth within the company. (if you're willing to put the work in) flexible hours (for part time employee's) higher pay than most other retail job's. company hire. high stress job, employee's should be paid much more for the work they do. cult like company values, if you don't love apple, (or pretend too) do not expect to go very far. in order to climb the ladder and get promoted, an employee must act as if th",3,2,5,2,3,4
" Jul 17, 2018",Current Employee - Helpdesk Specialist,Helpdesk Specialist,"full time not contract tiers 1 3 level access system administrator for many systems facebook perks. high volume and very busy depending on location and building base comp not as competitive as other large silicon valley companies no flex time or remote work, must be at helpdesk all day. 8 5pm or 9 6pm shifts.",5,4,5,4,3,4
" Nov 20, 2017",Former Employee - Apple At Home Advisor,At-Home Advisor Review,not mentioned,4,4,5,4,5,4
" Aug 23, 2016",Current Employee - Anonymous Employee,Area Manager Review,not mentioned,2,1,1,3,4,3
" Jun 1, 2012",Former Employee - Advisor,A great experience working for an amazing company.,not mentioned,4,none,none,none,none,none
" Sep 15, 2016",Current Employee - Sales Manager,"Process, process, process - No evolution",not mentioned,3,5,3,1,4,1
" Oct 2, 2017",Former Employee - Warehouse Associate,"Many promises of opportunities but over time the veil comes off and you realize, you're just another cog in the wheel.","don't get me wrong, amazon is a nice place to work at. i came in on the ground floor at a new facility in my town. we set records and became one of the best facilities in the amazon network, and for that i'm proud to be a part of the history there. they have a great benefits package and will help you pay your college tuition through the amazon careers program. the pay was good for the first year or so then it dropped as more employees came in, which i can understand but that raised an issue (see con #2). they put ps4's in the break rooms!. hiring ""managers"" fresh out of college with no experience, when there are plenty of qualified people within that department who can fulfill that role. me and my coworkers actually had to teach two of our managers how our department worked! the measly",2,4,4,3,4,2
" Jul 7, 2015",Former Employee - Anonymous Employee,"Horrible, and Don't Let Any Astroturf Amazon People Tell You Different","customer focus you will remember for life mostly because it's tattoo'd on you. you learn to write. a lot. more than you've ever written in your entire life. combined.. horrible managers super passive aggressive, claim to be numbers focused but some how latch on to the worst on their team and pip all others expect to be pip'd pip means performance improvement program before you are fired. this is done with the ex",1,1,1,3,1,1
" Oct 19, 2017",Current Employee - Associate Consultant,Microsoft Global Delivery - SharePoint practice is the worst place to be,not mentioned,3,5,4,2,3,2
" Aug 30, 2014",Current Employee - Operations Manager,Don't Quit any job to go to work there,good pay (that's it!!!!). horrible work life balance sr. managers must enjoy being sadistic (and are rewarded for it)... i was told to continuously ask a manager a question that they needed their computer to see the most up to date answer. i was to ask when they were away fro,1,1,1,1,4,1
" Oct 7, 2014",Current Employee - Software Development Engineer II,Nightmare on south lake union,"initial signing bonus is good. most people start of with 30 40k signing bonus that spreads out over two years. not bad huh. for software engineers, there are weekly poa talks, and learning series that will help you improve your knowledge and know what. horrible work life balance. some teams do a death march for months together, during this time it is expected that you put in long hours(50 easily). sdm's at amazon are horrible. most of them have no people management skills. i have known managers wh",2,2,3,2,4,4
" Nov 28, 2016",Current Employee - Stower,"Easy work, very large company","the work is easy for the money paid. i have literally done 3x harder work for 7.00 an hour. the rate is easy to make. 155 stocked cases per hour is about 3 cases per minute. so you might have 5 minutes where you scan 50 cases then you might walk aroun. hours are long and tedious. you can get ""time off task"" (slacking off) while looking for a place to stock products, and when you ask to drop a product you cannot stock, they tell you to keep trying. you can get fired for it. the company makes a lot",4,1,4,2,4,3
" Nov 10, 2016",Current Employee - Anonymous Employee,Part Time/Seasonal,not mentioned,3,none,none,3,none,none
" Aug 14, 2015",Current Employee - Learning and Development Manager,Great place to work...,"amazing perks and benefits smart, capable, genuinely caring people (will depend on team but 90% are in this bucket) great brand and resume builder, amazing opp to network with peers. huge company, lots of energy needed to get things done if you aren't an engineer, get ready to feel like a second class citizen",4,2,5,5,5,4
" Nov 22, 2011",Current Employee - Marketing Director,Great Marketing Opportunities with Top Benefits,not mentioned,5,4,none,5,5,4
" Nov 30, 2016",Current Employee - Business Specialist,Best place to work,not mentioned,4,4,3,3,4,3
" Jan 1, 2016",Former Employee - Service Specialist,Political Savvy a Must,not mentioned,2,2,4,3,4,1
" Nov 22, 2017",Current Employee - Recruiter,"I'm not trying to recruit you, I just love my job","i'm given the opportunity to have an impact, the size of it is up to me intelligent, motivated, friendly colleagues and managers flat structure convincing people to work here is easy because i love it myself. i appreciate amazon is not for everyone, there is a very specific culture based on the leadership principles that don't align with everyone's approach/values, but for me it is exactly the kind of environment i want to work in it can be demanding, but",5,4,5,5,4,4
" Jun 10, 2015",Current Employee - Software Development Engineer II,Good for Stability,"lots of different areas to work. a stable job (microsoft isn't going anywhere soon). find the right team and you can have a good work/life balance.. i equate microsoft to communism. you are treated the same as anyone else of your lvl/title in the company regardless of project. so you will make the same if you work 12 hrs a day on some high profile project, as a guy work 4 6hrs on some low visibility",2,2,2,3,3,2
" May 16, 2018",Current Employee - Specialist,Best retail job you can get,99% of your co workers are gonna be awesome really flexible schedule you can request time off 2 weeks before schedule and its 100% sure to get accepted (rto) pay is the best for retail fun place to work at access any store around the world . i feel like lately they are starting to turn into a more sale environment. some managers wont talk to you about sales but some will constantly. theres like 7 managers per store. wont follow foundation,4,5,2,4,5,3
" Nov 15, 2012",Current Employee - Software Engineer,Awesome company!,not mentioned,5,4,5,5,5,5
" Dec 4, 2015",Current Employee - Anonymous Employee,Lack of Openness,"great company, exciting work with driven people from all backgrounds.. i was moved into a different office further away, turning my 2h daily commute into 4h. not much room for movement as the teams are fairly isolated",2,1,none,3,5,none
" Jul 10, 2015",Former Employee - Software Development Engineer In Test (SDET) II,All spectrum of management - from crap to super stars,"i have joined as a l59 and left an l61. big pros are: (if you're lucky) having a good manager who can guide you up the career ladder and broaden your horizons smart ass people. you can learn every day, if you want to learn. good compensation benefits (until idiots who dialed 911 just for a simple scratch forced ms into introducing co payments for benefits).. idiot managers. there are still lots of living fossils who are in management positions just because they've been there for 10 years. all my last manager was doing is still trying to write a powerpoint presentation from time to time, organize weekly mee",3,4,3,3,4,3
" Jan 29, 2018",Current Employee - Anonymous Employee,Prestigious and Not Worth It,not mentioned,2,2,2,1,4,2
" Jan 20, 2015",Former Employee - Anonymous Employee,A great place to learn for life,"i don't think there is anyplace i could have worked and learned so much and felt like i made such a big impact to the world of technology. i grew at microsoft in so many ways. it is a wonderful place to become immersed in multiple game changing technologies. few places offer such a rich and diverse workforce allowing you to learn how to work with people better. something that is more valuable and will last longer than any technology. microsoft allows you to take training, stay on top of new trends and grow you strengths. there is always someone who can help. there is a vast wealth of material on hand for research to get you started on new projects quicker, pointed in the right direction, or help you out of a jam. good corporate values. if you are in a group that is in a cost center, and particularly if costs are being cut, then the only way you can grow is often for someone else to shrink. this has incented poor behavior in some places. there is no end to work, that is making your",4,2,3,3,4,3
" Feb 16, 2015",Former Employee - Retail Vendor Manager II,Great company with great prospects. Make sure the category fits to your interests and career aspirations.,not mentioned,4,2,3,4,4,4
" Mar 17, 2017",Former Employee - Consultant,Hypocrisy at the best,not mentioned,1,1,1,1,1,1
" Jul 2, 2012",Former Employee - Sales Manager,"no job security, unable to see the light at the end of the tunnel","looks good in your cv. if you are in 'that' circle then it is good, else u r just working as a slave! a follower wanted to launch surface, created new team, once done, most are fired! hr is not doing the right job total waste of time as no matter how hard you work,",1,2,1,2,2,1
" Feb 16, 2017",Current Employee - Anonymous Employee,"Fast paced company with high expectations, but incredibly fair. You won't a place that cares more about it's people.",not mentioned,5,5,5,5,5,5
" Nov 2, 2018",Former Employee - Anonymous Employee,"Apple Retail is retail 100%, set your expectations accordingly...","pay for a retail environment is top of the mark. depending on your specific location, starting and entry level roles will earn between $18 $19 per hour. each role above entry level pays you 10 20% more based on performance and tenure. if you are full ti. if you get hired at apple, come in thirsty. real thirsty. you're going to be drinking a ton of kool aid. throughout your on boarding and training experience you will be forced to drink kool aid, swallow it and gulp down some more. you will be expected t",1,1,1,1,2,1
" Sep 1, 2016",Former Employee - Quality Assurance Engineer II,Bad middle managers are whats giving Amazon its bad reputation,"peers are very smart ""leadership principles"" are good guidelines there's an atmosphere of ""getting things done"". if you get stuck with the wrong manager, it could make your work tedious the term ""work life balance"" is treated like its the worst thing in the world",3,1,3,4,4,3
" Oct 1, 2014",Former Employee - Senior Program Manager,A company that lost its way and is trying to recover.,"my first experience with microsoft was in 1988, so i've seen a lot of change over the years. great people to work with. compensation package is great. big company with a lot of breadth so there are lots of opportunities to try on new roles, new organizations and new projects.. if you go the pm route, you could end up working on a v team. however you'll be rated against the impact of your peers by your direct organization who don't have v team responsibilities and therefore make more on an impact in the direct organization.",3,5,3,3,4,2
" Dec 10, 2017",Current Employee - Analyst,"Great company values, but slowly losing its culture","great company values. they have put a lot of thought behind them and it's very inspiring to see what the company stands for on paper. they are quite transparent when it comes to product strategy, roadmaps, etc. it's great how much they make you feel p. if you land in the wrong team or are a victim of poor management, hr will not do anything about it, even if you have evidence. firstly, they are severely understaffed (one hrbp per 200 managers?). the feedback cycles are too political. this is one of",3,1,5,5,4,2
" Jan 30, 2014",Former Employee - Software Development Engineer,Advance by being unhelpful and tripping up your peers.,not mentioned,2,2,2,4,5,3
" Aug 17, 2014",Current Employee - Software Engineer,Best workplace if you really want to get things done!,not mentioned,5,4,5,5,4,5
" Jun 11, 2017",Current Employee - Fulfillment Associate,Whether or not you like working here definitely depends on the location at which you work.,not mentioned,5,4,5,5,4,none
" Oct 21, 2014",Former Employee - Product Manager,Product Manager,"smart teammates perks learning opportunities if you're ever bored of your current role, there are plenty of new projects and interesting teams to jump onto. if you're in the wrong team with a poor vp or director, you'll see a lack of vision and a waffling product roadmap",5,5,5,5,5,1
" Jun 26, 2018",Current Employee - Customer Service Specialist,Specialist,not mentioned,5,4,5,3,4,4
" Mar 5, 2010",Former Employee - Anonymous Employee,"Great place to experience hungry candidates, horrific place for experienced people with 8+ years experience.","perks location flexibility in working remotely, at least before 2/2009. immature or no leadership and middle management subtly arrogant in some cases, very arrogant extremely competitive so there's little trust among employees non confrontational culture, so issues are not resolved management means that they let iss",2,2.5,none,1,3,1
" Nov 8, 2018",Former Employee - Data Center Technician,Too much pressure - One of the worst positions in Amazon,"they pay well and their brand name is solid. if you manage to get a desk job you will manage to have a somewhat acceptable work life balance. immense focus on numbers, very little regarding quality of work employees tend to form certain cliques with their specific nationality, pretentious teamwork that does not help and it's only for the show very long hours, work life balance is non exis",2,1,2,3,4,1
" Nov 26, 2018",Current Employee - Anonymous Employee,What a wonderful place,not mentioned,5,5,5,5,5,5
" Nov 15, 2014",Current Employee - Senior Software Engineer,It's what you make of it,"working with smart, effective people: the average intelligence level here is considerably higher than anyplace else i've worked, and the people tend to be very diligent. when i need assistance from another engineer or another team, i typically get quick. impostor syndrome: the flip side of working with so many smart and effective people is that it can be difficult to recognize your own value, if you're used to being the smartest guy in the room and suddenly you're surrounded by people who are at or abov",5,5,4,5,5,4
" Jul 21, 2015",Current Employee - Program Manager,Program Manager,not mentioned,5,4,5,5,5,4
" Jul 7, 2017",Former Employee - Software Engineer II,"Pay good, but FTE work/life balance can be terrible, depending on team",not mentioned,4,2,4,4,5,2
" Nov 2, 2014",Current Employee - Anonymous Employee,Awesome,not mentioned,5,5,5,4,5,5
" Sep 12, 2013",Former Employee - Technical Support Engineer,"Microsoft GTSC: Good for college graduates looking to learn, bad for experienced people (no development opportunities)",not mentioned,2,2,3,1,2,1
" Apr 29, 2015",Former Employee - Applecare At Home Advisor,Struggling for sanity,"it's a great company to start your work from home experience. if you're someone who feels that migrating to office everyday isn't for you, this is a great start. you'll be part time starting out, but if you do well and get the promotion to senior advisor, you'll be given full time with a small raise. the at home program isn't a career, though. i understand they promote it as such and you'll be so excited they hired you, but after a few years in the program you'll see it's just another call center job. put a few years in and move along.. incompetent team managers no consistency between managers. one will praise you while the other will put you down. if you're not someone's favorite, don't expect to move up. during launch times, you'll be expected to work 60 hours per week. mandat",3,2,1,2,3,1
" Apr 29, 2009",Current Employee - Senior Software Engineer,"Great company to work for still, but flaws lower morale",not mentioned,4,4.5,none,3.5,5,2.5
" Jul 21, 2011",Current Employee - Senior Product Marketing Manager,Stimulating work environment but becoming more bureaucratic,not mentioned,3,3,none,3.5,3,4
" Jun 28, 2015",Current Employee - Business Systems Integrator,Still one of the best companies to work for,"free food, laundry service, home internet expense reimbursement, education reimbursement, 410k matching, etc. still a very engineering centric culture. great pay, lots of opportunities to transfer to new roles internally. larry page is a great ceo. increasingly bureaucratic within my organization, process creep. low performers aren't dealt with very well. it's getting more difficult to build internal applications because of all of the approvals required to access data in various systems.",5,5,5,5,5,3
" Apr 19, 2015",Former Employee - Csr1,Customer Care Representative I,"unlimited overtime snacks in the break room fast moving meeting a lot of new people $14/hr for no education required benefits. incredibly high turnover of employees. rather than investing in training, they just hired large swathes of people and then fired the ones that they didn't like. a lot of burn out. people getting overworked was very common. on my first week there a gir",1,1,1,1,2,1
" Oct 6, 2015",Current Employee - Human Resources Business Partner,HR Business Partner,"dream job: autonomy to work 100% independently, authority to make huge decisions that shape the business, and pretty near perfect manager and leadership support. quite literally the smartest, hardest working and most competent people i've worked with in every facet of the company (including start ups, mature companies, and post start up tech companies). low tolerance of bs, low tolerance of ""everything is amazing, everyone is perfect"" when things can be improved. the org moves fast with people issues, low performance (when appropriate), and childish behavior (very very low tolerance for this). incredibly lean orgs, especially in hr, so you really have the ability to own a business from end to end. low tolerance for politics or front stage/back stage behavior. best hr team i've ever worked with including the best manager i've ever worked with. full of high performing, no jerk, high wit peers at the top of their game.. incredibly lean at least on the non tech side of the house we could easily add 5 more hrbp's/hrg's and still be understaffed. the pro is way more opportunity for impact, the con is that you just cant get to every org, manager or employee that could be",5,5,5,5,5,5
" Jul 13, 2018",Former Employee - Anonymous Employee,Such a disappointment,not mentioned,2,3,3,1,1,1
" Feb 25, 2015",Current Employee - Anonymous Employee,Great place to grow,not mentioned,4,none,none,none,none,none
" Aug 26, 2018",Current Employee - Anonymous Employee,"Great company, too slow",not mentioned,4,5,3,4,5,2
" Jun 7, 2015",Current Employee - Software Development Engineer II,Internal transfer and Re-Org,"nice place to work, once you start working as fte at microsoft its very hard to leave and work other companies. i love working microsoft. benefits are great salary is great. internal transfer (except company re org) is based on network. if the manager moves to a new team , most ppl under him also move to that team. if you don't have a network its very difficult to get a new job in other team. if you are non asian or non",4,3,4,4,4,4
" Feb 25, 2017",Former Employee - User Interface Designer,It depends on the group you are in,not mentioned,3,3,3,5,4,4
" Jul 20, 2012",Current Employee - Anonymous Employee,"products used by millions, great pay and solid benefits, need to be OK with being a small cog in a huge machine","very competitive base pay, stock, and benefits amazing breadth of products to work on ... and most are used by millions smart and generally collaborative co workers once you get past the rain, seattle is an amazing place to live. is a huge company with all the bureaucracy and politics that you would expect strategy is ultimately windows uber alles ... and this kills a lot of innovation quality of leadership has steadily declined over the years ... most are now neither techni",4,3,3,4,4,2
" Jun 25, 2016","Former Employee - Team Lead, IOS/Senior Software Engineer",Fast paced challenging environment,not mentioned,4,2,4,4,5,3
" Feb 14, 2014",Former Employee - Software Engineer,Much slower and bureaucratic than what I expected.,"excellent benefits and perks. excellent work environment. extremely honest company, strictly follows the laws and regulations. extremely capable people. awesome infrastructure (servers, network, developer tools).. it feels like a big company, with all disadvantages of that. a small remote office does not have as much flexibility or options as the headquarters. 20% projects? they are most likely 100% 20%. infrastructure sometimes slow you down (infrastruct",4,3,4,4,5,3
" Mar 3, 2017",Current Employee - Senior Advisor,Prepare to be a Workaholic.,"work from home insurance is awesome and starts your first day! great pay and benefits. it is impossible to get a normal 9 5 weekends off shift. you will be working weekends, holidays (including christmas), and a ton of overtime. they pressure you hard to work overtime. they make it clear you won't get a promotion or a good review if you",2,1,3,2,5,2
